Title,ID,Cover,Genres,Action and Adventure,Animals,Art,Children,Contemporary,Crime,Death,Dystopian,Espionage,Family,Fantasy,Fiction,Friendship,Health,Historical,Horror,Humor,Legal,Memoir,Murder,Mystery and Detective,Paranormal,Political,Psychological,Relationships,Romance,Self-help,Suspense,Thriller,Travel,War,Women,author,year,total_weeks,first_week,debut_rank,best_rank,Equal-Frequency,success
FIRESTARTER,/works/OL81623W,9334842,"['Thriller', 'Suspense', 'Fiction', 'Children', 'Horror', 'Mystery and Detective']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Stephen King,1980,35,1980-08-24,6,1,13.0 < x ≤ 178.0,excellent
FIRESTARTER,/works/OL81623W,10137891,"['Thriller', 'Suspense', 'Fiction', 'Children', 'Horror', 'Mystery and Detective']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Stephen King,1980,35,1980-08-24,6,1,13.0 < x ≤ 178.0,excellent
FIRESTORM,/works/OL115400W,374142,"['Suspense', 'Women', 'Fiction', 'Murder', 'Psychological', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,Iris Johansen,2004,4,2004-04-18,6,6,2.0 < x ≤ 4.0,mediocre
FIRESTORM,/works/OL115400W,227282,"['Suspense', 'Women', 'Fiction', 'Murder', 'Psychological', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,Iris Johansen,2004,4,2004-04-18,6,6,2.0 < x ≤ 4.0,mediocre
FIRST AMONG EQUALS,/works/OL1807140W,405730,"['Fiction', 'Political']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jeffrey Archer,1984,18,1984-08-05,15,1,13.0 < x ≤ 178.0,excellent
FIRST AMONG EQUALS,/works/OL1807140W,2394549,"['Fiction', 'Political']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jeffrey Archer,1984,18,1984-08-05,15,1,13.0 < x ≤ 178.0,excellent
FIRST AMONG EQUALS,/works/OL1807140W,6800099,"['Fiction', 'Political']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jeffrey Archer,1984,18,1984-08-05,15,1,13.0 < x ≤ 178.0,excellent
FIRST COMES LOVE,/works/OL20040811W,8849627,"['Fiction', 'Family', 'Contemporary']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emily Giffin,2016,6,2016-07-17,1,1,4.0 < x ≤ 7.0,average
FIRST FAMILY,/works/OL14949720W,9296946,"['Fiction', 'Thriller', 'Crime', 'Children']",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,David Baldacci,2009,9,2009-05-10,1,1,7.0 < x ≤ 13.0,good
FIRST FAMILY,/works/OL14949720W,9380931,"['Fiction', 'Thriller', 'Crime', 'Children']",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,David Baldacci,2009,9,2009-05-10,1,1,7.0 < x ≤ 13.0,good
FIRST FAMILY,/works/OL14949720W,10087673,"['Fiction', 'Thriller', 'Crime', 'Children']",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,David Baldacci,2009,9,2009-05-10,1,1,7.0 < x ≤ 13.0,good
FIRST FROST,/works/OL17356045W,10926395,"['Contemporary', 'Relationships', 'Fiction', 'Women', 'Family']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Sarah Addison Allen,2015,3,2015-02-08,4,4,2.0 < x ≤ 4.0,mediocre
FIRST FROST,/works/OL17356045W,7433941,"['Contemporary', 'Relationships', 'Fiction', 'Women', 'Family']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Sarah Addison Allen,2015,3,2015-02-08,4,4,2.0 < x ≤ 4.0,mediocre
FIRST FROST,/works/OL17356045W,8763917,"['Contemporary', 'Relationships', 'Fiction', 'Women', 'Family']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Sarah Addison Allen,2015,3,2015-02-08,4,4,2.0 < x ≤ 4.0,mediocre
FIRST IMPRESSIONS,/works/OL111436W,6459682,"['Contemporary', 'Relationships', 'Romance', 'Fiction']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Nora Roberts,2006,6,2006-11-12,10,10,4.0 < x ≤ 7.0,average
FIRST IMPRESSIONS,/works/OL111436W,217999,"['Contemporary', 'Relationships', 'Romance', 'Fiction']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Nora Roberts,2006,6,2006-11-12,10,10,4.0 < x ≤ 7.0,average
FIRST IMPRESSIONS,/works/OL111436W,6459684,"['Contemporary', 'Relationships', 'Romance', 'Fiction']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Nora Roberts,2006,6,2006-11-12,10,10,4.0 < x ≤ 7.0,average
FIRST LORD’S FURY,/works/OL14973274W,6308474,"['Fiction', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jim Butcher,2009,1,2009-12-13,7,7,0.999 < x ≤ 2.0,poor
FIRST LORD’S FURY,/works/OL14973274W,9405527,"['Fiction', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jim Butcher,2009,1,2009-12-13,7,7,0.999 < x ≤ 2.0,poor
FIRST SIGHT,/works/OL14873412W,10219183,"['Fiction', 'Women', 'Relationships']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Danielle Steel,2013,5,2013-08-04,4,4,4.0 < x ≤ 7.0,average
FIRST SIGHT,/works/OL14873412W,8993111,"['Fiction', 'Women', 'Relationships']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Danielle Steel,2013,5,2013-08-04,4,4,4.0 < x ≤ 7.0,average
FIVE DAYS IN PARIS,/works/OL19777W,280812,"['Fiction', 'Contemporary', 'Travel']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Danielle Steel,1995,20,1995-12-03,1,1,13.0 < x ≤ 178.0,excellent
FIVE SILVER DAUGHTERS,/works/OL4867317W,13852500,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louis Golding,1934,5,1934-05-07,5,1,4.0 < x ≤ 7.0,average
FLASH,/works/OL34361W,3739945,"['Fiction', 'Contemporary', 'Romance', 'Suspense']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Jayne Ann Krentz,1998,1,1998-10-04,13,13,0.999 < x ≤ 2.0,poor
FLASHBACK,/works/OL134414W,1817904,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada Barr,2003,5,2003-03-02,5,5,4.0 < x ≤ 7.0,average
FLASHPOINT,/works/OL84175W,227289,"['Fiction', 'Romance', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Suzanne Brockmann,2004,1,2004-04-18,9,9,0.999 < x ≤ 2.0,poor
A PENNANT FOR THE KREMLIN,/works/OL6555929W,8137452,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Molloy,1964,1,1964-11-08,10,10,0.999 < x ≤ 2.0,poor
FLEISHMAN IS IN TROUBLE,/works/OL20097498W,8760134,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Taffy Brodesser-Akner,2019,1,2019-07-07,10,10,0.999 < x ≤ 2.0,poor
FLESH AND BLOOD,/works/OL12714W,419239,"['Fiction', 'Psychological', 'Mystery and Detective', 'Crime']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Jonathan Kellerman,2001,5,2001-12-09,11,7,4.0 < x ≤ 7.0,average
FLIGHT BEHAVIOR,/works/OL24686570W,11393535,"['Women', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Barbara Kingsolver,2012,8,2012-11-25,3,3,7.0 < x ≤ 13.0,good
FLIGHT OF EAGLES,/works/OL157717W,258579,"['Fiction', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Higgins,1998,2,1998-06-07,15,15,0.999 < x ≤ 2.0,poor
FLIGHT OF THE INTRUDER,/works/OL11286003W,7098582,"['Fiction', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stephen Coonts,1986,27,1986-11-02,12,7,13.0 < x ≤ 178.0,excellent
FLIRT,/works/OL14937051W,10651833,"['Fiction', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Laurell K. Hamilton,2010,4,2010-02-21,3,3,2.0 < x ≤ 4.0,mediocre
FLIRTING WITH PETE,/works/OL166384W,1987960,"['Fiction', 'Women', 'Romance', 'Death']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Barbara Delinsky,2003,3,2003-06-29,6,4,2.0 < x ≤ 4.0,mediocre
FLOATERS,/works/OL2941536W,3811835,"['Fiction', 'Mystery and Detective', 'Crime', 'Murder']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Joseph Wambaugh,1996,1,1996-06-09,13,13,0.999 < x ≤ 2.0,poor
A PERFECT BLOOD,/works/OL22681153W,10485652,"['Fiction', 'Paranormal', 'Horror']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Kim Harrison,2012,3,2012-03-11,2,2,2.0 < x ≤ 4.0,mediocre
FLOATING DRAGON,/works/OL114294W,6728627,['Horror'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Straub,1983,9,1983-02-13,14,5,7.0 < x ≤ 13.0,good
FLOOD TIDE,/works/OL84909W,3789628,"['Fiction', 'Espionage', 'Action and Adventure', 'Suspense']",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Clive Cussler,1997,9,1997-10-05,3,1,7.0 < x ≤ 13.0,good
FLOODGATE,/works/OL259289W,7071557,"['Fiction', 'Thriller', 'Mystery and Detective', 'Crime']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Alistair MacLean,1984,3,1984-04-22,15,12,2.0 < x ≤ 4.0,mediocre
FLOODGATE,/works/OL259289W,10934254,"['Fiction', 'Thriller', 'Mystery and Detective', 'Crime']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Alistair MacLean,1984,3,1984-04-22,15,12,2.0 < x ≤ 4.0,mediocre
FLOODTIDE,/works/OL24491954W,11109484,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Yerby,1950,20,1950-09-03,16,3,13.0 < x ≤ 178.0,excellent
FLOWERS IN THE RAIN,/works/OL134630W,201801,"['Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rosamunde Pilcher,1991,8,1991-09-08,13,4,7.0 < x ≤ 13.0,good
FLY AWAY,/works/OL19961772W,9418741,"['Friendship', 'Women', 'Family', 'Fiction']",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Kristin Hannah,2013,3,2013-05-12,3,3,2.0 < x ≤ 4.0,mediocre
FOCUS,/works/OL66343W,9181116,"['Fiction', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Arthur Miller,1946,1,1946-02-03,15,15,0.999 < x ≤ 2.0,poor
A PERFECT DAY,/works/OL37600W,6637050,"['Fiction', 'Psychological', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Richard Paul Evans,2003,1,2003-10-19,6,6,0.999 < x ≤ 2.0,poor
FOLLY BEACH,/works/OL21744809W,12939784,"['Fiction', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorothea Benton Frank,2011,4,2011-07-03,4,4,2.0 < x ≤ 4.0,mediocre
FOOL,/works/OL1987163W,6276038,"['Fiction', 'Humor']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christopher Moore,2009,5,2009-03-01,4,4,4.0 < x ≤ 7.0,average
FOOL ME ONCE,/works/OL14858155W,506016,"['Fiction', 'Women', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Fern Michaels,2006,3,2006-09-17,16,14,2.0 < x ≤ 4.0,mediocre
FOOLS ASSASSIN,/works/OL17268025W,10107391,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robin Hobb,2014,1,2014-08-31,13,13,0.999 < x ≤ 2.0,poor
FOOLS ASSASSIN,/works/OL17268025W,10532186,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robin Hobb,2014,1,2014-08-31,13,13,0.999 < x ≤ 2.0,poor
FOOLS ASSASSIN,/works/OL17268025W,10532185,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robin Hobb,2014,1,2014-08-31,13,13,0.999 < x ≤ 2.0,poor
FOOLS QUEST,/works/OL20866075W,10183687,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robin Hobb,2015,1,2015-08-30,14,14,0.999 < x ≤ 2.0,poor
FOOLS DIE,/works/OL1673261W,3233049,"['Thriller', 'Suspense', 'Fiction', 'Crime', 'Family']",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Mario Puzo,1978,19,1978-11-12,3,3,13.0 < x ≤ 178.0,excellent
FOOLS DIE,/works/OL1673261W,10760677,"['Thriller', 'Suspense', 'Fiction', 'Crime', 'Family']",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Mario Puzo,1978,19,1978-11-12,3,3,13.0 < x ≤ 178.0,excellent
FOR A FEW DEMONS MORE,/works/OL5888101W,1726481,"['Fiction', 'Fantasy', 'Murder']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Kim Harrison,2007,3,2007-04-08,5,5,2.0 < x ≤ 4.0,mediocre
A PERFECT LIFE,/works/OL19986215W,10202786,"['Contemporary', 'Relationships', 'Fiction', 'Women', 'Family']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Danielle Steel,2014,4,2014-08-10,4,4,2.0 < x ≤ 4.0,mediocre
A PERFECT LIFE,/works/OL19986215W,10337621,"['Contemporary', 'Relationships', 'Fiction', 'Women', 'Family']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Danielle Steel,2014,4,2014-08-10,4,4,2.0 < x ≤ 4.0,mediocre
A PERFECT LIFE,/works/OL19986215W,11556716,"['Contemporary', 'Relationships', 'Fiction', 'Women', 'Family']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Danielle Steel,2014,4,2014-08-10,4,4,2.0 < x ≤ 4.0,mediocre
FOR LOVE,/works/OL1858284W,4009617,"['Fiction', 'Relationships']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Sue Miller,1993,4,1993-05-02,9,9,2.0 < x ≤ 4.0,mediocre
FOR LOVE ALONE,/works/OL3504302W,4010222,"['Fiction', 'Women']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ivana Trump,1992,6,1992-04-26,6,6,4.0 < x ≤ 7.0,average
FOR ONE MORE DAY,/works/OL1822318W,6501473,"['Relationships', 'Fiction', 'Women', 'Family', 'Psychological', 'Death']",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Mitch Albom,2006,35,2006-10-15,1,1,13.0 < x ≤ 178.0,excellent
FOR ONE MORE DAY,/works/OL1822318W,12794158,"['Relationships', 'Fiction', 'Women', 'Family', 'Psychological', 'Death']",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Mitch Albom,2006,35,2006-10-15,1,1,13.0 < x ≤ 178.0,excellent
FOR SPECIAL SERVICES,/works/OL280301W,4660789,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Gardner,1982,15,1982-05-23,13,6,13.0 < x ≤ 178.0,excellent
FOR THE LOVE OF MONEY,/works/OL40924W,428967,"['Women', 'Fiction']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Omar Tyree,2000,1,2000-09-03,14,14,0.999 < x ≤ 2.0,poor
FOR THE ROSES,/works/OL26955W,3809300,"['Fiction', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julie Garwood,1995,4,1995-08-27,9,8,2.0 < x ≤ 4.0,mediocre
FOR WHOM THE BELL TOLLS,/works/OL63009W,167288,"['Fiction', 'Historical', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ernest Hemingway,1940,23,1940-10-28,1,1,13.0 < x ≤ 178.0,excellent
FOR WHOM THE BELL TOLLS,/works/OL63009W,8069776,"['Fiction', 'Historical', 'War']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ernest Hemingway,1940,23,1940-10-28,1,1,13.0 < x ≤ 178.0,excellent
FORCE 10 FROM NAVARONE,/works/OL257671W,3430,"['Fiction', 'Espionage', 'War']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Alistair MacLean,1968,18,1968-12-22,8,4,13.0 < x ≤ 178.0,excellent
FORCE 10 FROM NAVARONE,/works/OL257671W,5596404,"['Fiction', 'Espionage', 'War']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Alistair MacLean,1968,18,1968-12-22,8,4,13.0 < x ≤ 178.0,excellent
FORCE 10 FROM NAVARONE,/works/OL257671W,4702779,"['Fiction', 'Espionage', 'War']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Alistair MacLean,1968,18,1968-12-22,8,4,13.0 < x ≤ 178.0,excellent
FORCE OF NATURE,/works/OL84182W,1994946,"['Fiction', 'Mystery and Detective', 'Romance', 'Suspense']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,C. J. Box,2012,2,2012-04-08,3,3,0.999 < x ≤ 2.0,poor
A PERFECT SPY,/works/OL15723132W,7127165,"['Fiction', 'Espionage', 'Mystery and Detective']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,John le Carré,1986,24,1986-04-27,3,1,13.0 < x ≤ 178.0,excellent
FORD COUNTY,/works/OL14962267W,9323414,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Grisham,2009,9,2009-11-22,1,1,7.0 < x ≤ 13.0,good
FORD COUNTY,/works/OL14962267W,10424463,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Grisham,2009,9,2009-11-22,1,1,7.0 < x ≤ 13.0,good
FORD COUNTY,/works/OL14962267W,10440331,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Grisham,2009,9,2009-11-22,1,1,7.0 < x ≤ 13.0,good
FOREIGN AGENT,/works/OL21589029W,11140420,"['Fiction', 'Political']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Brad Thor,2016,5,2016-07-03,2,2,4.0 < x ≤ 7.0,average
FOREIGN BODY,/works/OL137258W,6886431,"['Thriller', 'Suspense', 'Women', 'Fiction', 'Death']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Robin Cook,2008,3,2008-08-24,9,9,2.0 < x ≤ 4.0,mediocre
FOREIGN INFLUENCE,/works/OL21445026W,11633769,"['Fiction', 'Espionage']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brad Thor,2010,4,2010-07-18,6,6,2.0 < x ≤ 4.0,mediocre
FOREVER,/works/OL1818343W,541044,['Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pete Hamill,2003,6,2003-01-19,9,8,4.0 < x ≤ 7.0,average
FOREVER AMBER,/works/OL100278W,12958803,"['Fiction', 'Women', 'Historical', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Kathleen Winsor,1944,58,1944-11-05,1,1,13.0 < x ≤ 178.0,excellent
FOREVER FIFTY: And Other Negotiations,/works/OL1932013W,4083724,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Judith Viorst,1989,6,1989-10-22,10,10,4.0 < x ≤ 7.0,average
FOREVER ODD,/works/OL263270W,12879772,"['Fiction', 'Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Dean Koontz,2005,7,2005-12-18,4,4,4.0 < x ≤ 7.0,average
FOREVER ODD,/works/OL263270W,10515402,"['Fiction', 'Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Dean Koontz,2005,7,2005-12-18,4,4,4.0 < x ≤ 7.0,average
FORGIVE US OUR TRESPASSES,/works/OL12588W,10691379,"['Fiction', 'Relationships', 'Family']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lloyd C. Douglas,1932,1,1932-12-26,3,3,0.999 < x ≤ 2.0,poor
1356,/works/OL16800052W,10311632,"['Fiction', 'Historical', 'Action and Adventure', 'War']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bernard Cornwell,2013,1,2013-01-27,11,11,0.999 < x ≤ 2.0,poor
1356,/works/OL16800052W,7638213,"['Fiction', 'Historical', 'Action and Adventure', 'War']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bernard Cornwell,2013,1,2013-01-27,11,11,0.999 < x ≤ 2.0,poor
1356,/works/OL16800052W,8632768,"['Fiction', 'Historical', 'Action and Adventure', 'War']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bernard Cornwell,2013,1,2013-01-27,11,11,0.999 < x ≤ 2.0,poor
A PIECE OF THE WORLD,/works/OL24391215W,10927427,[''],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christina Baker Kline,2017,4,2017-03-12,7,7,2.0 < x ≤ 4.0,mediocre
FORGIVING,/works/OL1860301W,382542,"['Fiction', 'Family', 'Contemporary', 'Romance']",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LaVyrle Spencer,1991,11,1991-02-17,4,2,7.0 < x ≤ 13.0,good
FORTUNE AND GLORY,/works/OL21684390W,10255642,"['Fiction', 'Women', 'Mystery and Detective']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Janet Evanovich,2020,3,2020-11-22,1,1,2.0 < x ≤ 4.0,mediocre
